area,aar,hy,n_samples,sopcorr,n0,n1,n2,n3,n4,mw0,mw1,mw2,mw3,mw4,ton
7r,1996,1,0,1.0090961812,0,81022.104748,41016.982648,7865.9971853,2598.0147941,0.003553295,0.0064137977,0.0107668229,0.0156203382,0.0162452636,1126.356948
7r,1997,1,0,0.6556488587,3628.7063077,565058.53622,31708.908782,30008.326436,5877.087805,0.0023087133,0.0041672927,0.0069956217,0.0101491385,0.0105551767,2951.5578446
7r,1998,1,0,0.8083803584,9301.885249,48643.08186,221724.46148,17385.229597,5588.7868488,0.0028465214,0.0051380514,0.0086252315,0.0125133509,0.0130139745,2479.1132829
7r,1999,1,0,0.8508976245,5495.7562234,186684.09537,33498.845256,56592.065653,5897.1617201,0.002996236,0.0054082904,0.0090788809,0.0131714984,0.0136984526,2156.4247056
7r,2000,1,0,0.9007537943,74934.405366,474283.60414,47815.498654,13054.409465,14057.343669,0.0031717928,0.0057251754,0.0096108347,0.0139432486,0.0145010784,3798.4475906
7r,2001,1,0,0.6803889435,5531.4484972,119233.10893,22212.186249,2083.1230331,2156.8485056,0.0023958297,0.0043245402,0.0072595927,0.0105321035,0.0109534631,735.69683868
7r,2002,1,0,0.857917726,135.76632998,16983.291123,2918.8920447,658.59093278,112.1948522,0.0030209556,0.0054529101,0.0091537837,0.0132801662,0.013811468,130.0331826
7r,2003,1,0,0.6907919554,3281.361141,3411.1982777,4347.0485003,1052.8870585,496.01362428,0.0024324615,0.0043906616,0.0073705904,0.0106931373,0.0111209393,71.774319158
7r,2004,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2005,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2006,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2007,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2008,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2009,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2010,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2011,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2012,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2013,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2014,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2015,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2016,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2017,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2018,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2019,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2020,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
7r,2021,1,,1,0,0,0,0,0,0.0035212649,0.0063559825,0.0106697687,0.0154795336,0.0160988258,0
